date_time,price,file_name
1646092800000,2919.294962425658,ethereum
1646179200000,2977.276039756805,ethereum
1646234735000,2987.114847893705,ethereum
1620345600000,1.0002993082097686,tether
1620432000000,1.001825303994509,tether
1620518400000,0.998844008086269,tether
1620604800000,1.0010462673780822,tether
1620691200000,1.0071871928322995,tether
1620777600000,1.0007263083372482,tether
1620864000000,1.0031919546846177,tether
1620950400000,0.9929825590929239,tether
1621036800000,0.9986313935458032,tether
1621123200000,0.9951338033587894,tether
1621209600000,0.9976465579657467,tether
1621296000000,1.0059347516284125,tether
1621382400000,0.9970266259975898,tether
1621468800000,0.9941905517088436,tether
1621555200000,1.0045769064212329,tether
1621641600000,0.9988974798903697,tether
1621728000000,1.002869640692695,tether
1621814400000,1.0013648417310266,tether
1621900800000,1.00308083146586,tether
1621987200000,1.0011599617977038,tether
1622073600000,0.9993103805725303,tether
1622160000000,0.9992757281387374,tether
1622246400000,1.0006307464769948,tether
1622332800000,0.9991615998914376,tether
1622419200000,0.9980486952049032,tether
1622505600000,0.9975503745391257,tether
1622592000000,1.0023371620794597,tether
1622678400000,0.9994727385939014,tether
1622764800000,1.000328978788244,tether
1622851200000,1.0006453290645456,tether
1622937600000,1.0010087062748723,tether
1623024000000,1.0025782335069557,tether
1623110400000,1.0002762650139625,tether
1623196800000,1.0024226284773852,tether
1623283200000,1.0017490911116596,tether
1623369600000,1.0039809916905793,tether
1623456000000,1.0006831170651154,tether
1623542400000,1.0042687651183322,tether
1623628800000,0.9994251393760427,tether
1623715200000,1.0011189590334115,tether
1623801600000,1.0028818770029917,tether
1623888000000,0.9985023689628276,tether
1623974400000,1.0029194130028705,tether
1624060800000,1.0008771187642447,tether
1624147200000,1.0042114667627022,tether
1624233600000,1.0011953646127407,tether
1624320000000,0.9972093465234795,tether
1624406400000,1.0045332107850604,tether
1624492800000,1.0028212108579748,tether
1624579200000,1.0021966303539478,tether
1624665600000,1.000703468387949,tether
1624752000000,1.0031606897360204,tether
1624838400000,1.0018020695846548,tether
1624924800000,1.0038513883661013,tether
1625011200000,1.000417551720511,tether
1625097600000,1.0044595729244727,tether
1625184000000,1.0016307604207397,tether
1625270400000,1.0043237595045345,tether
1625356800000,1.003225211477391,tether
1625443200000,0.995146280011523,tether
1625529600000,1.003829993413279,tether
1625616000000,1.0025265590774224,tether
1625702400000,0.9998377370871278,tether
1625788800000,1.0026752130655767,tether
1625875200000,1.003341360654814,tether
1625961600000,1.004324904353298,tether
1626048000000,1.000960373118501,tether
1626134400000,1.0023963980696122,tether
1626220800000,1.0041312554288047,tether
1626307200000,1.0026076440162972,tether
1626393600000,1.0030609403726911,tether
1626480000000,0.9997070964986088,tether
1626566400000,1.0017751840274285,tether
1626652800000,1.0026176595291227,tether
1626739200000,1.0019205416525372,tether
1626825600000,1.0019450679460384,tether
1626912000000,1.0025354811618212,tether
1626998400000,1.0013959524551024,tether
1627084800000,1.0024531199614324,tether
1627171200000,1.002305085345087,tether
1627257600000,1.0028856297745605,tether
1627344000000,1.0064675327484747,tether
1627430400000,1.004315108296533,tether
1627516800000,0.9975663218620914,tether
1627603200000,1.0032771292874911,tether
1627689600000,1.0021834363453637,tether
1627776000000,1.0001525169801917,tether
1627862400000,1.0032971481757589,tether
1627948800000,1.001059926781913,tether
1628035200000,1.0066964858693805,tether
1628121600000,0.9936301319601355,tether
1628208000000,1.0001347122032858,tether
1628294400000,1.0013032483337738,tether
1628380800000,1.000823329685905,tether
1628467200000,1.0015433844271733,tether
1628553600000,1.00509411606575,tether
1628640000000,0.9988195523618613,tether
1628726400000,1.0019241393385554,tether
1628812800000,1.0012357999957089,tether
1628899200000,0.9995715536725425,tether
1628985600000,1.0001194162315514,tether
1629072000000,1.0011938372885152,tether
1629158400000,0.9998269777614752,tether
1629244800000,1.0014830378212614,tether
1629331200000,1.0017999197302043,tether
1629417600000,1.0084185047052405,tether
1629504000000,1.001161378868162,tether
1629590400000,1.000481283470896,tether
1629676800000,1.0056134411464868,tether
1629763200000,1.0000891937397836,tether
1629849600000,1.0019886241739608,tether
1629936000000,1.000555508030765,tether
1630022400000,0.9968368656554902,tether
1630108800000,1.001392675534737,tether
1630195200000,1.000868875772331,tether
1630281600000,1.002129229090952,tether
1630368000000,0.9993568461762197,tether
1630454400000,1.0022102067553051,tether
1630540800000,1.0011427393995371,tether
1630627200000,0.9995155500191534,tether
1630713600000,0.9988649397504805,tether
1630800000000,0.99710219804087,tether
1630886400000,1.0004288181245948,tether
1630972800000,0.9999714467288541,tether
1631059200000,1.0015307774315565,tether
1631145600000,1.0035113613071207,tether
1631232000000,1.0037602354124957,tether
1631318400000,0.9989844996558042,tether
1631404800000,1.0023842193721983,tether
1631491200000,1.010674084543786,tether
1631577600000,1.002465958078472,tether
1631664000000,1.0031700620851922,tether
1631750400000,1.0011990455450162,tether
1631836800000,1.001822844751921,tether
1631923200000,1.0045733218509243,tether
1632009600000,1.002295742849109,tether
1632096000000,1.0036286096950808,tether
1632182400000,1.0002410329918325,tether
1632268800000,0.9918777939753823,tether
1632355200000,1.000755358295593,tether
1632441600000,1.001312817755819,tether
1632528000000,1.0000412548740925,tether
1632614400000,1.0028622381241443,tether
1632700800000,1.0035922171641198,tether
1632787200000,0.9947176084645623,tether
1632873600000,0.9968522146468529,tether
1632960000000,1.003546352848672,tether
1633046400000,1.0019639273595347,tether
1633132800000,1.002294117140799,tether
1633219200000,1.002970431751062,tether
1633305600000,1.0021788107787823,tether
1633392000000,1.0019183874160256,tether
1633478400000,1.0023136603839287,tether
1633564800000,1.0002134509272493,tether
1633651200000,1.0019793490583528,tether
1633737600000,1.0019431463254855,tether
1633824000000,1.001847548870957,tether
1633910400000,1.0012712436961138,tether
1633996800000,1.0036465642423975,tether
1634083200000,1.0017125789922714,tether
1634169600000,1.0028372618072177,tether
1634256000000,1.000940780646817,tether
1634342400000,1.0009005632727561,tether
1634428800000,1.0027794927034217,tether
1634515200000,1.002845303830606,tether
1634601600000,1.0003767434136628,tether
1634688000000,1.0038725261774444,tether
1634774400000,0.9999644707069164,tether
1634860800000,0.9983232776328071,tether
1634947200000,1.0040379087673863,tether
1635033600000,1.0051430563625818,tether
1635120000000,1.0047735362004342,tether
1635206400000,1.004107854815344,tether
1635292800000,1.0004895382547079,tether
1635379200000,1.001533833075547,tether
1635465600000,1.0024887181516329,tether
1635552000000,1.001938652536891,tether
1635638400000,1.0023825534453994,tether
1635724800000,0.9999985721890838,tether
1635811200000,1.0014568582261634,tether
1635897600000,1.0044938328432924,tether
1635984000000,1.0021306321529129,tether
1636070400000,1.004365815595183,tether
1636156800000,1.0042649942790578,tether
1636243200000,1.0037147075821091,tether
1636329600000,1.0053853043952607,tether
1636416000000,1.000475560551435,tether
1636502400000,1.0011488958083177,tether
1636588800000,1.0050087826499667,tether
1636675200000,1.0006891807410665,tether
1636761600000,1.0054975693678914,tether
1636848000000,1.0041658775087747,tether
1636934400000,1.0073902518393547,tether
1637020800000,1.0018772638256277,tether
1637107200000,1.0024418424149308,tether
1637193600000,1.0068628424862547,tether
1637280000000,1.0024947873933088,tether
1637366400000,1.0081388942138585,tether
1637452800000,1.0056917265334524,tether
1637539200000,1.0030027014132286,tether
1637625600000,1.0002238536829753,tether
1637712000000,1.0014574448629683,tether
1637798400000,1.0006462577519246,tether
1637884800000,0.9981012716712335,tether
1637971200000,1.0002332221411112,tether
1638057600000,1.0010565448623998,tether
1638144000000,0.9990792036975646,tether
1638230400000,0.999671246842223,tether
1638316800000,0.9984956996806869,tether
1638403200000,1.0002391903807926,tether
1638489600000,0.9977433942964203,tether
1638576000000,1.000516429572158,tether
1638662400000,1.0007464666844286,tether
1638748800000,1.0013614249204634,tether
1638835200000,0.9998202514294465,tether
1638921600000,1.0014777345118404,tether
1639008000000,0.9998456677172128,tether
1639094400000,0.9980983937379269,tether
1639180800000,0.9964470361423838,tether
1639267200000,1.0001308614696685,tether
1639353600000,0.9993849560551755,tether
1639440000000,0.9974935997320863,tether
1639526400000,1.0021288172876905,tether
1639612800000,1.0002532736753147,tether
1639699200000,0.9994595425455134,tether
1639785600000,0.9983872529431141,tether
1639872000000,0.9999049136752695,tether
1639958400000,0.9986366387697503,tether
1640044800000,1.0031154352544778,tether
